Discipline,Female,Male,Total
3x3 Basketball,12,12,24
Archery,15,15,30
Artistic Gymnastics,30,37,67
Artistic Swimming,33,0,33
Athletics,118,111,229
Badminton,12,12,24
Basketball,36,36,72
Beach Volleyball,6,6,12
Boxing,24,28,52
Canoe Slalom,9,9,18
Canoe Sprint,32,30,62
Cycling BMX Freestyle,3,3,6
Cycling BMX Racing,3,3,6
Cycling Mountain Bike,3,3,6
Cycling Road,6,6,12
Cycling Track,44,43,87
Diving,18,18,36
Equestrian,15,29,44
Fencing,45,45,90
Football,62,62,124
Golf,3,3,6
Handball,47,47,94
Hockey,50,52,102
Judo,52,53,105
Marathon Swimming,3,3,6
Modern Pentathlon,3,3,6
Rhythmic Gymnastics,18,0,18
Rowing,72,72,144
Rugby Sevens,38,40,78
Sailing,21,21,42
Shooting,27,27,54
Skateboarding,6,6,12
Sport Climbing,6,6,12
Surfing,3,3,6
Swimming,112,107,219
Table Tennis,15,15,30
Taekwondo,16,16,32
Tennis,12,12,24
Trampoline Gymnastics,3,3,6
Triathlon,9,9,18
Volleyball,39,39,78
Water Polo,39,39,78
Weightlifting,15,15,30
Wrestling,24,48,72
